,GeneNames,log2FC,p-value
110,LOC_Os09g31486.1,2.672425342,4.38e-11
111,LOC_Os02g30180.3,5.044394119,5.44e-11
112,LOC_Os01g01960.1,1.295455884,7.15e-11
113,LOC_Os07g37030.1,-1.1428006,8.63e-11
114,LOC_Os10g31820.2,2.938599455,9.05e-11
115,LOC_Os02g13560.1,2.182203331,1.02e-10
116,LOC_Os05g04700.1,3.662965013,1.25e-10
117,LOC_Os07g34589.3,1.662965013,2.34e-10
118,LOC_Os06g15400.1,-1.664396968,2.6e-10
119,LOC_Os02g43020.1,2.584962501,2.9e-10
120,LOC_Os08g09250.2,1.057030945,3.03e-10
121,LOC_Os03g43720.2,2.874469118,3.21e-10
122,LOC_Os03g05290.1,0.877515993,3.7e-10
123,LOC_Os01g15020.1,0.924051147,4.2e-10
124,LOC_Os11g26860.1,1.68589141,4.32e-10
125,LOC_Os03g25960.1,-2.404390255,4.91e-10
126,LOC_Os04g52500.1,4.906890596,5.58e-10
127,LOC_Os03g21040.2,0.914270126,6.01e-10
128,LOC_Os02g07260.2,0.790772038,7.26e-10
129,LOC_Os06g15330.1,-3.700439718,9.16e-10
130,LOC_Os03g03360.1,-2.807354922,1.12e-09
131,LOC_Os09g27830.3,4.0,1.14e-09
132,LOC_Os02g57290.1,-1.823969636,1.2e-09
133,LOC_Os02g28980.1,4.857980995,1.21e-09
134,LOC_Os05g23740.1,0.842458723,1.22e-09
135,LOC_Os09g26810.1,-4.459431619,1.42e-09
136,LOC_Os08g03290.1,0.179858923,1.85e-09
137,LOC_Os01g03730.1,2.772589504,2.17e-09
138,LOC_Os04g26910.1,2.38466385,2.23e-09
139,LOC_Os06g36560.1,1.545968369,2.57e-09
140,LOC_Os07g43810.1,-1.874469118,2.68e-09
141,LOC_Os03g16050.1,-1.769880217,3.02e-09
142,LOC_Os02g42890.1,2.054447784,3.14e-09
143,LOC_Os01g48960.1,1.097610797,3.96e-09
144,LOC_Os07g47530.2,1.526068812,4.22e-09
145,LOC_Os12g31000.1,-4.392317423,4.59e-09
146,LOC_Os06g45710.1,1.321928095,4.8e-09
147,LOC_Os04g23890.4,1.238159737,5.22e-09
148,LOC_Os09g29630.1,-1.850423644,5.88e-09
149,LOC_Os12g32986.1,1.706268797,7.32e-09
150,LOC_Os06g08670.1,1.304854582,7.51e-09
151,LOC_Os03g52630.1,-3.025535092,7.81e-09
152,LOC_Os03g21720.1,1.469485283,9.55e-09
153,LOC_Os05g38150.1,1.485426827,1.13e-08
154,LOC_Os03g57200.1,4.700439718,1.22e-08
155,LOC_Os05g49300.1,1.434937057,1.33e-08
156,LOC_Os12g44030.1,1.542527234,1.36e-08
157,LOC_Os01g55830.1,1.562936194,1.56e-08
158,LOC_Os08g20660.1,3.36923381,1.73e-08
159,LOC_Os10g41360.1,3.36923381,1.73e-08
160,LOC_Os08g45010.1,0.802319332,1.78e-08
161,LOC_Os11g39020.1,1.632268215,1.86e-08
162,LOC_Os06g21590.2,-0.834576391,1.99e-08
163,LOC_Os03g08430.2,1.415037499,2.12e-08
164,LOC_Os12g44050.1,2.807354922,2.33e-08
165,LOC_Os12g36640.2,1.688055994,2.36e-08
166,LOC_Os05g41640.1,-1.440572591,2.47e-08
167,LOC_Os12g37060.1,1.540568381,2.58e-08
168,LOC_Os03g21620.1,1.943416472,2.82e-08
169,LOC_Os05g08840.1,1.893084796,2.9e-08
170,LOC_Os03g52860.1,-2.015596855,3.08e-08
171,LOC_Os12g12850.1,0.382300713,3.2e-08
172,LOC_Os03g58790.1,2.478047297,3.51e-08
173,LOC_Os05g48630.2,-1.378511623,3.87e-08
174,LOC_Os05g24550.1,1.115477217,3.85e-08
175,LOC_Os06g34040.1,1.115477217,3.85e-08
176,LOC_Os03g28330.1,-1.856264523,4.04e-08
177,LOC_Os07g49270.1,1.719892081,4.03e-08
178,LOC_Os03g16670.1,2.137503524,4.73e-08
179,LOC_Os02g01030.4,2.137503524,4.73e-08
180,LOC_Os01g58194.1,4.584962501,5.7e-08
181,LOC_Os12g43600.1,-0.984893108,6.48e-08
182,LOC_Os05g06140.1,-2.781359714,7.27e-08
183,LOC_Os04g58280.2,-1.517399217,7.92e-08
184,LOC_Os03g06620.1,1.884522783,8.4e-08
185,LOC_Os04g53190.1,1.884522783,8.4e-08
186,LOC_Os05g50380.2,2.10433666,8.36e-08
187,LOC_Os10g35960.1,-1.836501268,9.63e-08
188,LOC_Os08g03290.1,-2.494764692,9.81e-08
189,LOC_Os11g05110.3,0.958580073,1.08e-07
190,LOC_Os01g07870.1,1.667424661,1.11e-07
191,LOC_Os02g32520.1,2.402098444,1.17e-07
192,LOC_Os06g02380.1,0.510615159,1.33e-07
193,LOC_Os12g02250.1,3.222392421,1.42e-07
194,LOC_Os02g50240.1,-1.185555653,1.42e-07
195,LOC_Os09g29890.1,2.0,1.56e-07
196,LOC_Os06g04270.1,-1.137503524,1.75e-07
197,LOC_Os12g24080.1,1.067114196,1.92e-07
198,LOC_Os04g24600.1,1.015596855,1.96e-07
199,LOC_Os10g40700.1,-4.95419631,2.24e-07
200,LOC_Os08g43440.1,2.115477217,2.64e-07
201,LOC_Os05g50710.1,1.874469118,2.74e-07
202,LOC_Os02g28830.1,1.35614381,2.83e-07
203,LOC_Os05g49770.2,3.169925001,2.86e-07
204,LOC_Os04g38390.1,3.169925001,2.86e-07
205,LOC_Os01g21420.1,3.169925001,2.86e-07
206,LOC_Os01g56670.2,-1.637429921,3.35e-07
207,LOC_Os08g27850.1,0.955145764,3.37e-07
208,LOC_Os11g04720.2,-2.938599455,3.89e-07
209,LOC_Os01g08700.1,0.752689946,3.91e-07
210,LOC_Os08g04430.1,2.857980995,3.95e-07
211,LOC_Os02g57260.1,1.74723393,3.96e-07
212,LOC_Os02g01740.1,1.38332864,4.01e-07
213,LOC_Os06g36360.2,1.38332864,4.01e-07
214,LOC_Os01g33960.1,1.38332864,4.01e-07
215,LOC_Os01g43370.1,2.0,4.59e-07
216,LOC_Os10g33800.2,0.563900885,4.63e-07
217,LOC_Os09g32050.1,2.632268215,5.6e-07
218,LOC_Os09g25850.1,4.392317423,5.65e-07
219,LOC_Os07g04210.1,3.115477217,5.74e-07
220,LOC_Os08g44680.1,-0.952171475,5.81e-07
221,LOC_Os09g20220.1,3.584962501,6.3e-07
222,LOC_Os04g57550.1,1.14543044,6.51e-07
223,LOC_Os07g35940.1,1.14543044,6.51e-07
224,LOC_Os07g34730.1,2.415037499,6.67e-07
225,LOC_Os03g06139.1,1.506959989,6.75e-07
226,LOC_Os04g04020.1,1.530514717,7.4e-07
227,LOC_Os06g12310.1,2.807354922,7.59e-07
228,LOC_Os01g55950.1,1.898120386,7.92e-07
229,LOC_Os09g24230.1,2.169925001,7.91e-07
230,LOC_Os03g14690.1,0.862496476,9.12e-07
231,LOC_Os01g53520.1,1.359081093,9.78e-07
232,LOC_Os04g38870.4,-1.824428435,1.01e-06
233,LOC_Os06g08110.1,2.584962501,1.03e-06
234,LOC_Os01g11070.1,3.058893689,1.15e-06
235,LOC_Os04g55710.1,-3.247927513,1.15e-06
236,LOC_Os03g24450.1,4.321928095,1.21e-06
237,LOC_Os01g53220.1,4.321928095,1.21e-06
238,LOC_Os12g31850.4,2.36923381,1.25e-06
239,LOC_Os07g30020.1,0.807354922,1.35e-06
240,LOC_Os06g10810.1,-2.614709844,1.4e-06
241,LOC_Os03g41460.1,2.129283017,1.39e-06
242,LOC_Os04g32020.1,1.105353,1.49e-06
243,LOC_Os02g11740.2,-1.10496956,1.5e-06
244,LOC_Os02g52940.1,-1.051428239,1.48e-06
245,LOC_Os10g28200.2,-1.453717967,1.56e-06
246,LOC_Os11g34350.1,0.966052668,1.57e-06
247,LOC_Os08g01380.2,-1.833990049,1.64e-06
248,LOC_Os07g01760.1,0.600069393,1.69e-06
249,LOC_Os06g45120.1,0.690044547,1.76e-06
250,LOC_Os03g03910.1,0.680382066,1.8e-06
251,LOC_Os03g59340.1,-1.545434137,2.26e-06
252,LOC_Os07g44060.1,3.0,2.29e-06
253,LOC_Os01g15010.1,1.8259706,2.32e-06
254,LOC_Os02g39890.1,-2.378511623,2.5e-06
255,LOC_Os01g19130.1,3.459431619,2.49e-06
256,LOC_Os02g14770.1,0.296393003,2.55e-06
257,LOC_Os04g49350.1,4.247927513,2.58e-06
258,LOC_Os02g29550.2,4.247927513,2.58e-06
259,LOC_Os07g04840.1,-0.936059179,2.88e-06
260,LOC_Os03g25940.4,0.565199246,2.94e-06
261,LOC_Os03g04970.1,2.485426827,3.48e-06
262,LOC_Os01g71300.2,2.485426827,3.48e-06
263,LOC_Os07g10770.1,-1.725825037,3.59e-06
264,LOC_Os04g40660.3,1.283792966,3.68e-06
265,LOC_Os02g12650.1,1.736965594,3.78e-06
266,LOC_Os03g44230.1,1.169925001,3.77e-06
267,LOC_Os03g48300.1,-2.350497247,3.92e-06
268,LOC_Os10g08550.5,0.517217894,4.19e-06
269,LOC_Os07g48500.1,0.326315412,4.18e-06
270,LOC_Os01g71990.1,2.044394119,4.32e-06
271,LOC_Os10g10500.1,1.395928676,4.35e-06
272,LOC_Os02g52780.1,2.938599455,4.56e-06
273,LOC_Os01g43710.1,2.938599455,4.56e-06
274,LOC_Os12g21890.1,2.938599455,4.56e-06
275,LOC_Os04g36720.1,1.959358016,4.55e-06
276,LOC_Os09g23350.1,1.959358016,4.55e-06
