,GeneNames,log2FC,p-value
1070,LOC_Os09g32100.1,1.874469118,0.013806793
1071,LOC_Os08g15204.1,1.874469118,0.013806793
1072,LOC_Os04g01740.1,1.874469118,0.013806793
1073,LOC_Os02g07120.1,0.695145418,0.013926632
1074,LOC_Os05g40420.1,0.624490865,0.014027972
1075,LOC_Os10g20630.1,0.624490865,0.014027972
1076,LOC_Os08g37790.1,-1.263034406,0.014100993
1077,LOC_Os12g23180.1,-1.263034406,0.014100993
1078,LOC_Os02g49880.1,-1.263034406,0.014100993
1079,LOC_Os03g57220.2,-1.018859027,0.014379326
1080,LOC_Os04g55720.1,0.807354922,0.0144921
1081,LOC_Os06g50000.1,-2.0,0.014679577
1082,LOC_Os05g48870.1,-1.700439718,0.014870993
1083,LOC_Os08g10020.2,0.30256277,0.014915047
1084,LOC_Os08g45240.4,1.321928095,0.01559511
1085,LOC_Os04g51120.3,1.321928095,0.01559511
1086,LOC_Os02g52140.1,1.321928095,0.01559511
1087,LOC_Os03g60930.1,1.321928095,0.01559511
1088,LOC_Os04g54330.1,1.321928095,0.01559511
1089,LOC_Os03g02170.1,1.321928095,0.01559511
1090,LOC_Os01g60660.1,1.321928095,0.01559511
1091,LOC_Os08g36150.1,1.321928095,0.01559511
1092,LOC_Os04g34620.1,1.321928095,0.01559511
1093,LOC_Os05g27870.1,1.321928095,0.01559511
1094,LOC_Os07g46380.1,1.321928095,0.01559511
1095,LOC_Os09g36930.1,-0.966052668,0.015687339
1096,LOC_Os01g70960.2,0.669851398,0.015710632
1097,LOC_Os05g07860.1,0.669851398,0.015710632
1098,LOC_Os10g27220.1,2.169925001,0.015485234
1099,LOC_Os06g37000.1,2.169925001,0.015485234
1100,LOC_Os11g37080.1,2.169925001,0.015485234
1101,LOC_Os02g57854.1,2.169925001,0.015485234
1102,LOC_Os02g01170.1,2.169925001,0.015485234
1103,LOC_Os01g56400.1,2.169925001,0.015485234
1104,LOC_Os06g36070.1,2.169925001,0.015485234
1105,LOC_Os03g56420.2,2.169925001,0.015485234
1106,LOC_Os04g10680.1,2.169925001,0.015485234
1107,LOC_Os11g30500.1,2.169925001,0.015485234
1108,LOC_Os06g40190.1,2.169925001,0.015485234
1109,LOC_Os02g44910.1,2.169925001,0.015485234
1110,LOC_Os03g52980.1,2.169925001,0.015485234
1111,LOC_Os05g19480.1,2.169925001,0.015485234
1112,LOC_Os12g01390.1,0.186878135,0.015749491
1113,LOC_Os09g34970.1,0.836501268,0.015813714
1114,LOC_Os02g07760.2,0.836501268,0.015813714
1115,LOC_Os08g34210.2,0.836501268,0.015813714
1116,LOC_Os01g16190.1,0.836501268,0.015813714
1117,LOC_Os03g12020.1,-1.321928095,0.015478298
1118,LOC_Os08g44850.1,-1.584962501,0.015971276
1119,LOC_Os06g25800.1,-1.584962501,0.015971276
1120,LOC_Os03g20700.1,0.491853096,0.016077219
1121,LOC_Os11g10100.1,0.938599455,0.016236766
1122,LOC_Os11g01530.1,0.938599455,0.016236766
1123,LOC_Os01g08560.2,0.938599455,0.016236766
1124,LOC_Os08g33330.1,-3.459431619,0.016189655
1125,LOC_Os03g16130.1,-3.459431619,0.016189655
1126,LOC_Os03g40550.1,-3.459431619,0.016189655
1127,LOC_Os09g27700.1,-3.459431619,0.016189655
1128,LOC_Os02g17350.1,-3.459431619,0.016189655
1129,LOC_Os09g19734.2,-3.459431619,0.016189655
1130,LOC_Os07g23720.1,-3.459431619,0.016189655
1131,LOC_Os08g02690.1,-3.459431619,0.016189655
1132,LOC_Os03g59310.1,-3.459431619,0.016189655
1133,LOC_Os09g07510.1,0.398549376,0.016429932
1134,LOC_Os01g09320.1,1.169925001,0.016398565
1135,LOC_Os10g41400.1,1.169925001,0.016398565
1136,LOC_Os03g05806.1,1.169925001,0.016398565
1137,LOC_Os01g23620.1,1.169925001,0.016398565
1138,LOC_Os01g53000.2,1.169925001,0.016398565
1139,LOC_Os04g58550.1,-2.169925001,0.01636765
1140,LOC_Os05g06330.1,-2.169925001,0.01636765
1141,LOC_Os10g21192.1,-2.169925001,0.01636765
1142,LOC_Os04g56400.1,-1.243925583,0.01666076
1143,LOC_Os12g01140.1,-1.243925583,0.01666076
1144,LOC_Os05g37690.1,0.770518154,0.016718501
1145,LOC_Os07g36140.1,0.793549123,0.01810912
1146,LOC_Os01g56300.1,0.793549123,0.01810912
1147,LOC_Os06g21600.1,0.793549123,0.01810912
1148,LOC_Os08g43640.3,0.793549123,0.01810912
1149,LOC_Os03g55320.1,0.793549123,0.01810912
1150,LOC_Os01g53240.1,0.793549123,0.01810912
1151,LOC_Os11g32470.1,1.0,0.017017329
1152,LOC_Os07g18050.1,1.0,0.017017329
1153,LOC_Os08g05940.1,1.0,0.017017329
1154,LOC_Os11g33240.1,1.0,0.017017329
1155,LOC_Os03g57840.2,0.362570079,0.017106339
1156,LOC_Os03g51650.1,0.584962501,0.017099834
1157,LOC_Os12g40840.3,-1.341036918,0.018317866
1158,LOC_Os03g63420.1,-2.700439718,0.017247368
1159,LOC_Os03g60840.1,-2.700439718,0.017247368
1160,LOC_Os07g44650.1,-2.700439718,0.017247368
1161,LOC_Os02g36360.1,-2.700439718,0.017247368
1162,LOC_Os11g01330.1,-2.700439718,0.017247368
1163,LOC_Os02g08010.1,-2.700439718,0.017247368
1164,LOC_Os03g49350.1,-2.700439718,0.017247368
1165,LOC_Os02g42220.1,-1.184424571,0.017389726
1166,LOC_Os07g40580.1,0.678071905,0.017205913
1167,LOC_Os03g13220.2,0.678071905,0.017205913
1168,LOC_Os01g63400.2,1.485426827,0.018448604
1169,LOC_Os01g70020.1,1.485426827,0.018448604
1170,LOC_Os09g39462.2,1.485426827,0.018448604
1171,LOC_Os09g24440.1,1.485426827,0.018448604
1172,LOC_Os07g48810.1,1.485426827,0.018448604
1173,LOC_Os06g02620.1,1.485426827,0.018448604
1174,LOC_Os11g28340.2,1.485426827,0.018448604
1175,LOC_Os05g46260.1,1.485426827,0.018448604
1176,LOC_Os10g41400.2,0.479167837,0.017245653
1177,LOC_Os08g01760.1,-2.321928095,0.017375473
1178,LOC_Os02g30460.1,-2.321928095,0.017375473
1179,LOC_Os03g40830.1,-2.321928095,0.017375473
1180,LOC_Os03g53710.1,-2.321928095,0.017375473
1181,LOC_Os07g08430.1,-2.321928095,0.017375473
1182,LOC_Os10g38206.1,-2.321928095,0.017375473
1183,LOC_Os02g04480.1,-1.777607579,0.017430631
1184,LOC_Os07g31370.1,0.605721061,0.017498898
1185,LOC_Os12g37570.1,0.605721061,0.017498898
1186,LOC_Os08g41790.1,0.605721061,0.017498898
1187,LOC_Os07g47500.1,0.390789953,0.017487573
1188,LOC_Os03g36540.2,-1.584962501,0.018576054
1189,LOC_Os02g08544.2,-0.816037165,0.017676976
1190,LOC_Os07g37240.1,-0.586908145,0.018821959
1191,LOC_Os09g36450.1,-0.831400396,0.018956014
1192,LOC_Os08g34220.1,-1.494764692,0.019010871
1193,LOC_Os04g45900.1,-1.494764692,0.019010871
1194,LOC_Os02g48900.1,-1.387023123,0.019008377
1195,LOC_Os11g47760.5,-1.387023123,0.019008377
1196,LOC_Os04g02050.1,-1.256339753,0.019846399
1197,LOC_Os08g01360.3,-1.807354922,0.019898265
1198,LOC_Os05g43310.1,-1.807354922,0.019898265
1199,LOC_Os07g30670.1,-1.807354922,0.019898265
1200,LOC_Os06g47890.2,0.652076697,0.019232425
1201,LOC_Os01g73990.1,1.192645078,0.020107107
1202,LOC_Os06g35814.1,1.192645078,0.020107107
1203,LOC_Os06g21560.1,1.192645078,0.020107107
1204,LOC_Os10g35550.1,1.192645078,0.020107107
1205,LOC_Os10g24070.1,1.192645078,0.020107107
1206,LOC_Os12g36630.1,1.192645078,0.020107107
1207,LOC_Os02g47590.1,0.884522783,0.019358971
1208,LOC_Os02g48964.1,0.884522783,0.019358971
1209,LOC_Os01g65220.1,-0.86507042,0.02022067
1210,LOC_Os01g53680.1,0.932885804,0.020244905
1211,LOC_Os04g52130.1,-1.106915204,0.019417126
1212,LOC_Os05g16660.1,1.078002512,0.020806168
1213,LOC_Os06g39690.1,1.078002512,0.020806168
1214,LOC_Os04g49990.1,1.078002512,0.020806168
1215,LOC_Os03g61220.2,0.136321471,0.020878744
1216,LOC_Os02g48110.1,0.565597176,0.020956853
1217,LOC_Os09g39910.2,1.584962501,0.021067875
1218,LOC_Os04g50860.1,1.584962501,0.021067875
1219,LOC_Os01g72009.1,1.584962501,0.021067875
1220,LOC_Os09g20990.1,1.584962501,0.021067875
1221,LOC_Os10g07270.1,1.584962501,0.021067875
1222,LOC_Os03g45170.1,1.584962501,0.021067875
1223,LOC_Os02g47860.1,1.584962501,0.021067875
1224,LOC_Os01g68760.1,1.584962501,0.021067875
1225,LOC_Os03g58910.2,1.584962501,0.021067875
1226,LOC_Os04g56160.1,1.584962501,0.021067875
1227,LOC_Os07g39870.2,0.444784843,0.021390039
1228,LOC_Os04g33780.1,0.628031223,0.021462959
1229,LOC_Os02g01560.1,-0.871992388,0.021496836
1230,LOC_Os05g41900.3,0.658963082,0.021536277
1231,LOC_Os12g37410.1,-1.362570079,0.021954407
1232,LOC_Os01g67320.1,0.499571009,0.022046063
1233,LOC_Os03g11410.1,0.499571009,0.022046063
1234,LOC_Os05g42424.1,-1.415037499,0.02240587
1235,LOC_Os01g18320.1,-1.415037499,0.02240587
1236,LOC_Os01g68450.2,-1.925999419,0.022504659
1237,LOC_Os04g46010.1,-1.925999419,0.022504659
1238,LOC_Os04g58200.1,-1.925999419,0.022504659
1239,LOC_Os04g50120.1,-1.485426827,0.022768437
1240,LOC_Os02g10640.1,0.547487795,0.022931214
1241,LOC_Os04g53230.1,-0.94753258,0.022961824
1242,LOC_Os03g52150.1,0.719892081,0.023523162
1243,LOC_Os04g28090.1,0.719892081,0.023523162
1244,LOC_Os02g38050.3,0.719892081,0.023523162
1245,LOC_Os02g49800.1,0.334419039,0.023494594
1246,LOC_Os02g38810.1,0.632268215,0.023838646
1247,LOC_Os04g39700.1,-1.270089163,0.02390454
1248,LOC_Os11g07470.1,0.874469118,0.02389285
1249,LOC_Os03g06220.1,0.874469118,0.02389285
1250,LOC_Os07g45064.1,0.436099115,0.024158328
1251,LOC_Os07g40520.1,1.736965594,0.024424536
1252,LOC_Os11g40590.1,1.736965594,0.024424536
1253,LOC_Os03g58960.1,1.736965594,0.024424536
1254,LOC_Os12g39080.1,1.736965594,0.024424536
1255,LOC_Os02g14059.2,1.736965594,0.024424536
1256,LOC_Os01g09430.1,1.736965594,0.024424536
1257,LOC_Os06g34440.1,1.736965594,0.024424536
1258,LOC_Os06g12220.1,1.736965594,0.024424536
1259,LOC_Os01g43870.6,1.736965594,0.024424536
1260,LOC_Os03g06950.1,1.736965594,0.024424536
1261,LOC_Os01g32870.2,1.736965594,0.024424536
1262,LOC_Os08g43470.1,1.736965594,0.024424536
1263,LOC_Os02g51780.1,1.736965594,0.024424536
1264,LOC_Os05g49410.2,1.736965594,0.024424536
1265,LOC_Os03g53860.2,-0.979822118,0.024918892
1266,LOC_Os01g16540.1,1.087462841,0.025353655
1267,LOC_Os03g14380.1,1.087462841,0.025353655
1268,LOC_Os08g12820.1,1.087462841,0.025353655
1269,LOC_Os10g29560.1,1.087462841,0.025353655
1270,LOC_Os06g45380.1,1.087462841,0.025353655
1271,LOC_Os02g15880.2,1.222392421,0.025286281
1272,LOC_Os02g17870.1,1.222392421,0.025286281
1273,LOC_Os02g50350.2,1.222392421,0.025286281
1274,LOC_Os09g02729.2,1.222392421,0.025286281
1275,LOC_Os11g05260.1,1.222392421,0.025286281
1276,LOC_Os05g32680.1,1.222392421,0.025286281
1277,LOC_Os08g33120.5,1.222392421,0.025286281
1278,LOC_Os01g59600.1,1.222392421,0.025286281
1279,LOC_Os10g37740.1,0.925999419,0.0257612
1280,LOC_Os05g25840.1,0.925999419,0.0257612
1281,LOC_Os07g01030.1,-1.343954401,0.026156629
1282,LOC_Os06g46284.1,-2.087462841,0.025758427
1283,LOC_Os06g08730.1,-2.087462841,0.025758427
1284,LOC_Os04g08350.2,-2.087462841,0.025758427
1285,LOC_Os02g41800.1,-2.087462841,0.025758427
1286,LOC_Os02g53520.1,-2.087462841,0.025758427
1287,LOC_Os02g38920.1,-2.087462841,0.025758427
1288,LOC_Os09g13870.3,-1.716207034,0.02585675
1289,LOC_Os04g32110.1,-1.716207034,0.02585675
1290,LOC_Os11g03410.1,2.807354922,0.02608158
1291,LOC_Os11g36480.1,2.807354922,0.02608158
1292,LOC_Os03g12610.2,2.807354922,0.02608158
1293,LOC_Os05g43040.1,2.807354922,0.02608158
1294,LOC_Os12g39070.1,2.807354922,0.02608158
1295,LOC_Os04g24165.1,2.807354922,0.02608158
1296,LOC_Os02g35100.2,2.807354922,0.02608158
1297,LOC_Os03g14800.3,2.807354922,0.02608158
1298,LOC_Os09g19850.1,2.807354922,0.02608158
1299,LOC_Os09g33970.1,2.807354922,0.02608158
1300,LOC_Os01g70300.1,2.807354922,0.02608158
1301,LOC_Os05g14860.1,2.807354922,0.02608158
1302,LOC_Os05g32210.1,2.807354922,0.02608158
1303,LOC_Os07g40510.1,2.807354922,0.02608158
1304,LOC_Os09g33780.1,2.807354922,0.02608158
1305,LOC_Os01g16620.4,2.807354922,0.02608158
1306,LOC_Os07g32600.1,2.807354922,0.02608158
1307,LOC_Os12g32380.1,2.807354922,0.02608158
1308,LOC_Os12g32330.1,2.807354922,0.02608158
1309,LOC_Os07g33670.1,2.807354922,0.02608158
1310,LOC_Os04g40950.3,0.08246216,0.025933222
1311,LOC_Os12g39660.1,0.736965594,0.025963867
1312,LOC_Os06g07830.1,0.607682577,0.026362424
1313,LOC_Os03g60460.1,0.607682577,0.026362424
1314,LOC_Os03g05780.1,-1.530514717,0.026598507
1315,LOC_Os03g17520.1,-1.530514717,0.026598507
1316,LOC_Os05g06460.1,-1.530514717,0.026598507
1317,LOC_Os12g41400.1,0.688055994,0.026663284
1318,LOC_Os06g42560.3,-2.222392421,0.02767676
1319,LOC_Os06g47640.1,-2.222392421,0.02767676
1320,LOC_Os06g49160.1,-2.222392421,0.02767676
1321,LOC_Os02g37830.2,-2.222392421,0.02767676
1322,LOC_Os05g01110.1,-2.222392421,0.02767676
1323,LOC_Os06g09910.2,-2.222392421,0.02767676
1324,LOC_Os02g06500.1,-2.222392421,0.02767676
1325,LOC_Os02g21280.1,-2.222392421,0.02767676
1326,LOC_Os04g46894.1,-2.222392421,0.02767676
1327,LOC_Os02g54980.1,0.823122238,0.027972779
1328,LOC_Os10g35810.1,-2.584962501,0.028744269
1329,LOC_Os05g34040.1,-2.584962501,0.028744269
1330,LOC_Os03g57149.1,-2.584962501,0.028744269
1331,LOC_Os01g74020.1,-2.584962501,0.028744269
1332,LOC_Os01g51840.3,-2.584962501,0.028744269
1333,LOC_Os04g50110.1,-2.584962501,0.028744269
1334,LOC_Os09g38090.1,-2.584962501,0.028744269
1335,LOC_Os03g24460.3,-2.584962501,0.028744269
1336,LOC_Os12g01390.1,-2.584962501,0.028744269
1337,LOC_Os12g10604.1,-2.584962501,0.028744269
1338,LOC_Os03g52860.1,-2.584962501,0.028744269
1339,LOC_Os05g44340.1,-2.584962501,0.028744269
1340,LOC_Os04g35240.1,-1.247927513,0.028274211
1341,LOC_Os05g36070.1,-3.321928095,0.028689658
1342,LOC_Os04g44320.1,-3.321928095,0.028689658
1343,LOC_Os03g64400.3,-3.321928095,0.028689658
1344,LOC_Os01g11900.1,-3.321928095,0.028689658
1345,LOC_Os01g58022.1,-3.321928095,0.028689658
1346,LOC_Os03g58110.1,-3.321928095,0.028689658
1347,LOC_Os03g12260.1,-3.321928095,0.028689658
1348,LOC_Os02g35590.2,-3.321928095,0.028689658
1349,LOC_Os05g31760.1,-3.321928095,0.028689658
1350,LOC_Os07g02440.1,-3.321928095,0.028689658
1351,LOC_Os10g13850.1,-3.321928095,0.028689658
1352,LOC_Os01g53840.1,-3.321928095,0.028689658
1353,LOC_Os12g42230.1,-3.321928095,0.028689658
1354,LOC_Os01g68650.1,-3.321928095,0.028689658
1355,LOC_Os01g29450.1,-3.321928095,0.028689658
1356,LOC_Os01g01790.1,0.584962501,0.02911506
1357,LOC_Os03g04590.1,0.4639471,0.029140077
1358,LOC_Os03g39640.2,0.700439718,0.029234356
1359,LOC_Os07g38360.2,-3.169925001,0.028621409
1360,LOC_Os01g05694.1,-3.169925001,0.028621409
1361,LOC_Os05g11950.1,-3.169925001,0.028621409
1362,LOC_Os01g56430.1,-3.169925001,0.028621409
1363,LOC_Os06g05950.2,-3.169925001,0.028621409
1364,LOC_Os01g61410.4,-3.169925001,0.028621409
1365,LOC_Os06g49700.1,-3.169925001,0.028621409
1366,LOC_Os06g03800.2,-3.169925001,0.028621409
1367,LOC_Os09g16920.1,-3.169925001,0.028621409
1368,LOC_Os01g25820.1,-3.169925001,0.028621409
1369,LOC_Os01g43330.1,-3.169925001,0.028621409
1370,LOC_Os02g05900.1,-3.169925001,0.028621409
1371,LOC_Os11g05340.1,-3.169925001,0.028621409
1372,LOC_Os08g02490.1,-3.169925001,0.028621409
1373,LOC_Os04g37430.1,-3.169925001,0.028621409
1374,LOC_Os06g39344.2,-3.169925001,0.028621409
1375,LOC_Os01g67860.1,-3.169925001,0.028621409
1376,LOC_Os02g09150.1,-1.178337241,0.02943935
1377,LOC_Os09g08880.1,-1.736965594,0.029612371
1378,LOC_Os05g32110.3,-1.736965594,0.029612371
1379,LOC_Os09g19560.1,-1.736965594,0.029612371
1380,LOC_Os04g35130.1,-1.736965594,0.029612371
1381,LOC_Os07g04230.1,1.378511623,0.029911769
1382,LOC_Os02g32530.1,1.378511623,0.029911769
1383,LOC_Os12g39320.1,1.378511623,0.029911769
1384,LOC_Os01g01160.1,1.378511623,0.029911769
1385,LOC_Os04g14654.3,1.378511623,0.029911769
1386,LOC_Os07g23880.1,1.378511623,0.029911769
1387,LOC_Os06g06440.1,1.378511623,0.029911769
1388,LOC_Os10g41780.3,0.862496476,0.030047752
1389,LOC_Os09g32532.2,0.862496476,0.030047752
1390,LOC_Os08g42740.7,0.862496476,0.030047752
1391,LOC_Os07g01060.3,0.862496476,0.030047752
1392,LOC_Os11g04980.2,-1.321928095,0.030099723
1393,LOC_Os09g28390.1,0.610053482,0.029903036
1394,LOC_Os05g49800.1,-1.0,0.030568637
1395,LOC_Os09g08910.1,-1.0,0.030568637
1396,LOC_Os04g47870.2,-0.69632361,0.031124319
1397,LOC_Os01g46380.1,-0.688055994,0.031114648
1398,LOC_Os06g51290.3,1.0,0.031330582
1399,LOC_Os02g37420.1,1.0,0.031330582
1400,LOC_Os08g39070.1,1.0,0.031330582
1401,LOC_Os05g01760.1,1.0,0.031330582
1402,LOC_Os02g34600.1,1.099535674,0.031611361
1403,LOC_Os03g02050.1,1.099535674,0.031611361
1404,LOC_Os09g11450.1,1.099535674,0.031611361
1405,LOC_Os10g34380.1,1.099535674,0.031611361
1406,LOC_Os01g34700.1,1.099535674,0.031611361
1407,LOC_Os08g07830.1,1.099535674,0.031611361
1408,LOC_Os08g41830.1,1.099535674,0.031611361
1409,LOC_Os08g13360.2,1.099535674,0.031611361
1410,LOC_Os09g21770.1,1.099535674,0.031611361
1411,LOC_Os03g16910.1,-1.584962501,0.031533059
1412,LOC_Os10g38272.1,-1.432959407,0.031993586
1413,LOC_Os08g44330.1,-1.432959407,0.031993586
1414,LOC_Os01g56800.2,-1.432959407,0.031993586
1415,LOC_Os04g56530.1,0.563900885,0.032101564
1416,LOC_Os11g08670.1,0.777607579,0.032487037
1417,LOC_Os02g49080.1,-1.137503524,0.032537412
1418,LOC_Os08g02410.1,-1.091147888,0.032592576
1419,LOC_Os02g34510.1,0.584962501,0.032753145
1420,LOC_Os05g44050.1,0.493040011,0.033128543
1421,LOC_Os01g49370.1,0.438121112,0.033447081
1422,LOC_Os11g21990.1,0.267480311,0.033592861
1423,LOC_Os08g40570.1,-1.847996907,0.034230256
1424,LOC_Os07g14830.1,-1.847996907,0.034230256
1425,LOC_Os12g37530.2,-1.847996907,0.034230256
1426,LOC_Os11g41900.1,0.637429921,0.036729892
1427,LOC_Os05g45420.3,0.309328058,0.036877921
1428,LOC_Os03g51000.2,0.678071905,0.036852308
1429,LOC_Os10g42710.3,0.678071905,0.036852308
1430,LOC_Os12g18110.2,0.678071905,0.036852308
1431,LOC_Os03g04169.1,0.807354922,0.034805922
1432,LOC_Os01g32800.2,0.807354922,0.034805922
1433,LOC_Os03g42220.1,0.203533394,0.035001272
1434,LOC_Os01g66000.1,-1.058893689,0.035463993
1435,LOC_Os02g13640.1,1.459431619,0.035335757
1436,LOC_Os09g21760.1,1.459431619,0.035335757
1437,LOC_Os11g42420.2,1.459431619,0.035335757
1438,LOC_Os10g32770.3,1.459431619,0.035335757
1439,LOC_Os02g07880.1,1.459431619,0.035335757
1440,LOC_Os04g25410.1,1.459431619,0.035335757
1441,LOC_Os10g41200.1,1.459431619,0.035335757
1442,LOC_Os03g55600.1,1.459431619,0.035335757
1443,LOC_Os06g22820.1,1.459431619,0.035335757
1444,LOC_Os11g09170.1,1.459431619,0.035335757
1445,LOC_Os01g43540.1,1.459431619,0.035335757
1446,LOC_Os01g67330.1,1.459431619,0.035335757
1447,LOC_Os06g44380.1,1.459431619,0.035335757
1448,LOC_Os03g48850.1,1.459431619,0.035335757
1449,LOC_Os01g03020.1,-1.187627003,0.035324697
1450,LOC_Os03g24180.1,-1.187627003,0.035324697
1451,LOC_Os05g04510.1,-0.753360032,0.040166725
1452,LOC_Os01g06310.1,0.7589919,0.040037529
1453,LOC_Os01g22520.1,0.7589919,0.040037529
1454,LOC_Os06g29120.1,0.7589919,0.040037529
1455,LOC_Os03g18200.1,0.7589919,0.040037529
1456,LOC_Os03g43430.1,-2.0,0.040157478
1457,LOC_Os09g10760.1,-2.0,0.040157478
1458,LOC_Os02g50970.1,-2.0,0.040157478
1459,LOC_Os01g70770.1,-2.0,0.040157478
1460,LOC_Os09g23160.1,-2.0,0.040157478
1461,LOC_Os05g49260.1,-2.0,0.040157478
1462,LOC_Os03g45920.1,-1.906890596,0.039952429
1463,LOC_Os08g23410.1,-1.906890596,0.039952429
1464,LOC_Os10g38274.1,-1.906890596,0.039952429
1465,LOC_Os08g40150.1,-1.906890596,0.039952429
1466,LOC_Os01g66110.1,-1.906890596,0.039952429
1467,LOC_Os07g06190.1,-1.906890596,0.039952429
1468,LOC_Os06g03970.1,-1.906890596,0.039952429
1469,LOC_Os08g35420.1,-1.906890596,0.039952429
1470,LOC_Os03g22570.1,0.375509135,0.037538033
1471,LOC_Os07g46160.1,0.485426827,0.037534163
1472,LOC_Os05g47446.1,-1.584962501,0.037602738
1473,LOC_Os02g42406.1,-1.584962501,0.037602738
1474,LOC_Os10g38276.1,-1.584962501,0.037602738
1475,LOC_Os03g30800.1,-1.584962501,0.037602738
1476,LOC_Os11g05552.1,-1.099535674,0.035856476
1477,LOC_Os05g51590.1,0.561878888,0.03585022
1478,LOC_Os07g07540.1,0.469485283,0.040396773
1479,LOC_Os05g14170.1,0.426264755,0.035843486
1480,LOC_Os05g51560.2,0.415037499,0.040694601
1481,LOC_Os12g42310.1,0.415037499,0.040694601
1482,LOC_Os08g02630.1,-1.652076697,0.038010568
1483,LOC_Os11g41820.2,-1.237039197,0.040818964
1484,LOC_Os03g49710.1,-1.237039197,0.040818964
1485,LOC_Os05g25550.2,-1.237039197,0.040818964
1486,LOC_Os02g37080.1,0.64385619,0.040946185
1487,LOC_Os07g47710.1,-1.144389909,0.038785194
1488,LOC_Os12g34108.1,-1.144389909,0.038785194
1489,LOC_Os06g30970.1,1.0,0.038752734
1490,LOC_Os04g33210.1,1.0,0.038752734
1491,LOC_Os01g17390.1,1.0,0.038752734
1492,LOC_Os01g29230.1,1.0,0.038752734
1493,LOC_Os01g37832.3,1.0,0.038752734
1494,LOC_Os04g02890.2,1.0,0.038752734
1495,LOC_Os01g54940.1,1.0,0.038752734
1496,LOC_Os07g43470.1,1.0,0.038752734
1497,LOC_Os01g31360.3,1.0,0.038752734
1498,LOC_Os03g05980.2,-0.844721775,0.038968856
1499,LOC_Os12g05110.1,0.540568381,0.039199272
1500,LOC_Os06g35160.1,0.540568381,0.039199272
1501,LOC_Os01g67054.3,0.362570079,0.042608306
1502,LOC_Os06g40080.1,0.362570079,0.042608306
1503,LOC_Os03g44500.1,0.362570079,0.042608306
1504,LOC_Os02g30210.2,-1.160464672,0.042184132
1505,LOC_Os09g33800.2,-1.321928095,0.042790788
1506,LOC_Os02g03470.1,-1.321928095,0.042790788
1507,LOC_Os09g37120.1,1.584962501,0.042593369
1508,LOC_Os06g15370.1,1.584962501,0.042593369
1509,LOC_Os08g40620.2,1.584962501,0.042593369
1510,LOC_Os04g31270.1,1.584962501,0.042593369
1511,LOC_Os05g35740.2,1.584962501,0.042593369
1512,LOC_Os08g07760.1,1.584962501,0.042593369
1513,LOC_Os01g56780.3,1.584962501,0.042593369
1514,LOC_Os04g01230.1,1.584962501,0.042593369
1515,LOC_Os01g62070.2,1.584962501,0.042593369
1516,LOC_Os06g44620.1,1.584962501,0.042593369
1517,LOC_Os10g31970.1,1.584962501,0.042593369
1518,LOC_Os06g46600.1,1.584962501,0.042593369
1519,LOC_Os03g05280.1,1.584962501,0.042593369
1520,LOC_Os06g08740.1,1.584962501,0.042593369
1521,LOC_Os11g04220.1,1.584962501,0.042593369
1522,LOC_Os10g42940.3,1.584962501,0.042593369
1523,LOC_Os09g01690.2,1.584962501,0.042593369
1524,LOC_Os07g40120.1,1.584962501,0.042593369
1525,LOC_Os04g42670.1,1.584962501,0.042593369
1526,LOC_Os10g02980.1,1.584962501,0.042593369
1527,LOC_Os12g18880.1,1.584962501,0.042593369
1528,LOC_Os12g10560.1,1.584962501,0.042593369
1529,LOC_Os01g56930.2,1.584962501,0.042593369
1530,LOC_Os03g07300.1,0.2410081,0.042961608
1531,LOC_Os09g39390.1,-0.975752454,0.042394226
1532,LOC_Os08g03380.1,-2.115477217,0.043788031
1533,LOC_Os01g65480.1,-2.115477217,0.043788031
1534,LOC_Os03g20020.1,-2.115477217,0.043788031
1535,LOC_Os01g51640.1,-2.115477217,0.043788031
1536,LOC_Os07g43350.1,-2.115477217,0.043788031
1537,LOC_Os06g44840.1,-2.115477217,0.043788031
1538,LOC_Os07g07990.1,-2.115477217,0.043788031
1539,LOC_Os03g07430.3,-2.115477217,0.043788031
1540,LOC_Os06g01450.1,-2.115477217,0.043788031
1541,LOC_Os02g56550.1,-2.115477217,0.043788031
1542,LOC_Os09g04660.1,-2.115477217,0.043788031
1543,LOC_Os01g48500.1,-1.662965013,0.043726058
1544,LOC_Os01g48680.1,-1.662965013,0.043726058
1545,LOC_Os07g39270.1,-1.662965013,0.043726058
1546,LOC_Os11g28270.2,-1.662965013,0.043726058
1547,LOC_Os03g43420.1,-1.662965013,0.043726058
1548,LOC_Os07g05470.1,-1.662965013,0.043726058
1549,LOC_Os06g29310.1,-1.662965013,0.043726058
1550,LOC_Os12g29660.1,0.788495895,0.044078585
1551,LOC_Os03g12350.2,0.788495895,0.044078585
1552,LOC_Os01g42850.2,0.788495895,0.044078585
1553,LOC_Os03g62170.1,0.788495895,0.044078585
1554,LOC_Os03g49500.2,-1.378511623,0.044637868
1555,LOC_Os05g02310.1,-1.378511623,0.044637868
1556,LOC_Os03g49510.1,0.5360529,0.044603871
1557,LOC_Os10g22950.1,0.5360529,0.044603871
1558,LOC_Os10g41560.1,0.5360529,0.044603871
1559,LOC_Os03g22490.2,0.612976877,0.045385439
1560,LOC_Os06g51250.1,0.612976877,0.045385439
1561,LOC_Os02g07070.1,0.612976877,0.045385439
1562,LOC_Os02g39550.3,0.612976877,0.045385439
